initial_samples,steps_size,time,seconds,acc,manual
5,5,0 days 00:47:14.562116,2834.0,0.6761695977888609,348.0
5,10,0 days 00:24:42.745212,1482.0,0.712171052631579,333.0
5,15,0 days 00:15:39.370618,939.0,0.6555944268520062,368.0
10,5,0 days 00:44:37.560335,2677.0,0.7002627696539905,345.0
10,10,0 days 00:23:44.528327,1424.0,0.7046783629216646,351.0
10,15,0 days 00:18:34.469356,1114.0,0.7125971408990713,331.0
15,5,0 days 00:50:32.880277,3032.0,0.6890432139237722,371.0
15,10,0 days 00:23:01.258969,1381.0,0.7152777777777778,368.0
15,15,0 days 00:14:39.644255,879.0,0.6810606171687444,368.0
20,5,0 days 00:47:03.824731,2823.0,0.6843253987176078,389.0
20,10,0 days 00:23:22.484163,1402.0,0.7299382719728682,374.0
20,15,0 days 00:15:08.295664,908.0,0.7224668711423874,355.0
