initial_samples,steps_size,time,seconds,acc,manual,manualy
5,5,0 days 00:41:55.613968,2515.0,0.5925621421713578,438.0,438.0
5,10,0 days 00:18:30.562819,1110.0,0.6044407894736842,464.0,464.0
5,15,0 days 00:18:25.325445,1105.0,0.5484484502902398,473.0,473.0
10,5,0 days 00:39:57.923263,2397.0,0.6051989592410423,442.0,442.0
10,10,0 days 00:24:02.007067,1442.0,0.5916483904186048,466.0,466.0
10,15,0 days 00:15:28.309425,928.0,0.5557546844849219,469.0,469.0
15,5,0 days 00:51:21.639583,3081.0,0.5978009328246117,459.0,459.0
15,10,0 days 00:20:37.536821,1237.0,0.6388888888888888,449.0,449.0
15,15,0 days 00:14:06.971887,846.0,0.5479166929920515,494.0,494.0
20,5,0 days 00:42:46.008305,2566.0,0.6295634984970093,448.0,448.0
20,10,0 days 00:20:38.213495,1238.0,0.6400462985038757,456.0,456.0
20,15,0 days 00:13:29.603548,809.0,0.5703598683079084,497.0,497.0
